breed,description,temperament,popularity,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,group,grooming_frequency_value,grooming_frequency_category,shedding_value,shedding_category,energy_level_value,energy_level_category,trainability_value,trainability_category,demeanor_value,demeanor_category
Affenpinscher,the affens apish look has been described many ways theyve been called monkey dogs and ape terriers the french say diablotin moustachu mustached little devil and star wars fans argue whether they look more like wookies or ewoksstanding less than a foot tall these sturdy terrierlike dogs approach life with great confidence this isnt a breed you train a professional dog handler tells us hes like a human you befriend him the dense harsh coat is described as neat but shaggy and comes in several colors the gait is light and confident they can be willful and domineering but mostly affens are loyal affectionate and always entertaining affen people say they love being owned by their little monkey dogs the affenpinscher loyal curious and famously amusing this almosthuman toy dog is fearless out of all proportion to his size as with all great comedians its the affenpinschers apparent seriousness of purpose that makes his antics all the more amusing,confident famously funny fearless,148,22.86,29.21,3.17514659,4.535923700000001,12.0,15.0,Toy Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.6,Regular Exercise,0.8,Easy Training,1.0,Outgoing
Afghan Hound,the afghan hound is an ancient breed his whole appearance one of dignity and aloofness  his eyes gazing into the distance as if in memory of ages past an intelligent and independent mind his whole appearance one of dignity and style to his own he is devoted and loyal with a charming and lively personality the afghan hound is an athlete capable of immense speed and requires a large fenced in yard and exercise dailysince ancient times afghan hounds have been famous for their elegant beauty but the thick silky flowing coat that is the breeds crowning glory isnt just for show  it served as protection from the harsh climate in mountainous regions where afghans originally earned their keep beneath the afghans glamorous exterior is a powerful agile hound  standing as high as 27 inches at the shoulder  built for a long days hunt their huge pawpads acted as shock absorbers on their homelands punishing terrainthe afghan hound is a special breed for special people a breed expert writes its not the breed for all wouldbe dog owners but where the dog and owner combination is right no animal can equal the afghan hound as a pet the afghan hound is an aloof and dignified aristocrat of sublime beauty despite his regal appearance he is known for his profound loyalty sensitive nature and absolute love for those he calls his own,dignified profoundly loyal aristocratic,113,63.5,68.58,22.6796185,27.2155422,12.0,15.0,Hound Group,0.8,Daily Brushing,0.2,Infrequent,0.8,Energetic,0.2,May be Stubborn,0.2,Aloof/Wary
Airedale Terrier,the airedale terrier is the largest of all terrier breeds males stand about 23 inches at the shoulder females a little less the dense wiry coat is tan with black markings long muscular legs give airedales a regal lift in their bearing and the long headwith its sporty beard and mustache dark eyes and neatly folded earsconveys a keen intelligence airedales are the very picture of an alert and willing terrieronly bigger and like his smaller cousins in the terrier family he can be bold determined and stubborn airedales are docile and patient with kids but wont back down when protecting hearth and home thanks to their famous doitall attitude airedales excel in all kinds of sports and family activities his size strength and unflagging spirit have earned the airedale terrier the nickname the king of terriers the airedale stands among the worlds most versatile dog breeds and has distinguished himself as hunter athlete and companion,friendly clever courageous,60,58.42,58.42,22.6796185,31.751465900000003,11.0,14.0,Terrier Group,0.6,2-3 Times a Week Brushing,0.4,Occasional,0.6,Regular Exercise,1.0,Eager to Please,0.8,Friendly
Akita,akitas are burly heavyboned spitztype dogs of imposing stature standing 24 to 28 inches at the shoulder akitas have a dense coat that comes in several colors including white the head is broad and massive and is balanced in the rear by a full curledover tail the erect ears and dark shining eyes contribute to an expression of alertness a hallmark of the breedakitas are quiet fastidious dogs wary of strangers and often intolerant of other animals akitas will gladly share their silly affectionate side with family and friends they thrive on human companionship the large independentthinking akita is hardwired for protecting those they love they must be well socialized from birth with people and other dogs akitas are muscular doublecoated dogs of ancient japanese lineage famous for their dignity courage and loyalty in their native land they are venerated as family protectors and symbols of good health happiness and long life,courageous dignified profoundly loyal,47,60.96,71.12,31.751465900000003,58.9670081,10.0,13.0,Working Group,0.8,Daily Brushing,0.6,Seasonal,0.8,Energetic,1.0,Eager to Please,0.6,Alert/Responsive
Alaskan Malamute,the alaskan malamute stands 23 to 25 inches at the shoulder and weighs 75 to 85 pounds everything about mals suggests their origin as an arctic sled dog the heavy bone deep chest powerful shoulders and dense weatherproof coat all scream i work hard for a living but their almondshaped brown eyes have an affectionate sparkle suggesting mals enjoy snuggling with their humans when the workday is done mals are pack animals and in your family pack the leader must be you if a mal doesnt respect you he will wind up owning you instead of the other way around firm but loving training should begin in early puppyhood that said a wellbehaved mal is a joy to be withplayful gentle friendly and great with kids an immensely strong heavyduty worker of spitz type the alaskan malamute is an affectionate loyal and playful but dignified dog recognizable by his wellfurred plumed tail carried over the back erect ears and substantial bone,affectionate loyal playful,58,58.42,63.5,34.01942775,38.55535145,10.0,14.0,Working Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.8,Energetic,0.4,Independent,0.8,Friendly
American Bulldog,the american bulldog is a descendant of the english bulldog it is believed that the bulldog was in america as early as the 17th century they came to the united states in the 1800s with immigrants who brought their working bulldogs with them small farmers and ranchers used this allaround working dog for many tasks including farm guardians stock dogs and catch dogs the breed largely survived particularly in the southern states due to its ability to bring down and catch feral pigsthe breed we know as the american bulldog was originally known by many different names before the name american bulldog became the standard in different parts of the south he was known as the white english southern bulldog but most commonly just bulldog the breed was not called a bulldog because of a certain look but because they did real bulldog work breed contact informationkatrina huffmasterphone  8505193089 american bulldogs are a wellbalanced athletic dog that demonstrate great strength endurance agility and a friendly attitude historically they were bred to be a utility dog used for working the farm,loyal selfconfident,,50.8,63.5,27.2155422,45.359237,10.0,12.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.6,Seasonal,0.8,Energetic,0.6,Agreeable,0.6,Alert/Responsive
American English Coonhound,standing as high as 26 inches at the shoulder american english coonhounds are deepchested sweetfaced athletes beloved by sportsmen for their speed and endurance stretched tightly across the athletic frame is a mediumlength coat of various patterns some with ticking the head is broad with a domed skull with soft lowhung ears and darkbrown eyes that glow with warmth and kindnessamerican english coonhounds are mellow when off duty but tenacious and stubborn in pursuit of their ringtailed prey their work drive and energy the patience it takes to train them for things other than coon hunting and their loud ringing bark can make the breed a bad fit as house pets for novice owners some passionate fans of american english coonhounds feel that without a sporting outlet for this breeds houndy virtues youre simply wasting a good dog these sleek and racy lean but muscular hounds work dusk to dawn in pursuit of the wily raccoon the sight of the american english coonhound tearing through the moonlit woods all sinew and determination bawling their lusty night music is coonhunter heaven,sweet mellow sociable,175,58.42,66.04,20.41165665,29.48350405,11.0,12.0,Hound Group,0.2,Occasional Bath/Brush,0.4,Occasional,0.8,Energetic,0.6,Agreeable,0.6,Alert/Responsive
American Eskimo Dog,the american eskimo dog comes in three sizesstandard miniature and toystanding as tall as 19 inches at the shoulder or as short as 9 inches distinctive traits include a dense sparkling white coat with a lionlike ruff around the chest and shoulders a smiling face with black nose lips and eyerims that convey a keen intelligent expression and a plumed tail carried over the back some eskies have markings with the delicious color name biscuit cream they move with a bold and agile gaiteskies are social animals and can develop problem behaviors when neglected or undertrainedthey insist on being part of family life among the most trainable of breeds the clever kidfriendly eskie practically invented the phrase eager to please the american eskimo dog combines striking good looks with a quick and clever mind in a total brainsandbeauty package neither shy nor aggressive eskies are always alert and friendly though a bit conservative when making new friends,playful perky smart,122,22.86,48.26,2.72155422,15.875732950000002,13.0,15.0,Non-Sporting Group,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,1.0,Eager to Please,1.0,Outgoing
American Foxhound,american foxhounds are sleek rangy hunters known for their speed endurance and work ethic you can tell the american foxhound apart from their british cousin the english foxhound by length of legthe americans legs are longer and more finely bonedand by the americans slightly arched loin back end american foxhounds have large soft eyes with an expression described as gentle and pleadingso far so good but foxhounds come with special considerations they need lots of exercise or they can get depressed and destructive a foxhounds singleminded prey drive must be managed their loud bawling is melodious to hound lovers but can be a nuisance to neighbors and training and housebreaking these independent souls can be a steep challenge for novice owners american foxhounds are goodnatured lowmaintenance hounds who get on well with kids dogs even cats but come with special considerations for prospective owners they are closely associated with revolutionary heroes and the rolling estates of old virginia,independent easygoing sweettempered,186,53.34,63.5,27.2155422,31.751465900000003,11.0,13.0,Hound Group,0.2,Occasional Bath/Brush,0.6,Seasonal,0.8,Energetic,0.4,Independent,0.8,Friendly
American Hairless Terrier,the american hairless terrier stands between 12 to 16 inches at the shoulder and comes in both coated and hairless varieties the hairless variety might have eyebrows and whiskers while the coated has a short shiny coat the skin of the hairless is smooth and warm to the touch the broad wedgeshaped head is a hallmark of both varieties erect vshaped ears frame the round expressive eyes that gleam with curiositythe american hairless moves with jaunty pep in his step that announces real terrier attitude the hairless variety is as hypoallergenic as a dog can get hairlessness though presents its own challenges sunburn is a concern and cold weather requires special precautions this breed is protective of their humans and make alert watchdogs the american hairless terrier a louisiana native is a smart inquisitive and playful dog that comes in hairless and coated varieties he is a fine choice for allergy sufferers who want a dog with true terrier grit and courage,energetic alert curious,136,30.48,40.64,5.4431084400000005,7.25747792,14.0,16.0,Terrier Group,0.4,,0.6,,0.6,,0.6,,0.6,
